tissue,tissue_DROP
Adipose_Subcutaneous,Adipose_-_Subcutaneous
Adipose_Visceral_Omentum,Adipose_-_Visceral_Omentum
Adrenal_Gland,Adrenal_Gland
Artery_Aorta,Artery_-_Aorta
Artery_Coronary,Artery_-_Coronary
Artery_Tibial,Artery_-_Tibial
Brain_Amygdala,Brain_-_Amygdala
Brain_Anterior_cingulate_cortex_BA24,Brain_-_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia,Brain_-_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere,Brain_-_Cerebellar_Hemisphere
Brain_Cerebellum,Brain_-_Cerebellum
Brain_Cortex,Brain_-_Cortex
Brain_Frontal_Cortex_BA9,Brain_-_Frontal_Cortex_BA9
Brain_Hippocampus,Brain_-_Hippocampus
Brain_Hypothalamus,Brain_-_Hypothalamus
Brain_Nucleus_accumbens_basal_ganglia,Brain_-_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia,Brain_-_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c_1,Brain_-_Spinal_cord_cervical_c-1
Brain_Substantia_nigra,Brain_-_Substantia_nigra
Breast_Mammary_Tissue,Breast_-_Mammary_Tissue
Cells_Cultured_fibroblasts,Cells_-_Cultured_fibroblasts
Cells_EBV_transformed_lymphocytes,Cells_-_EBV-transformed_lymphocytes
Colon_Sigmoid,Colon_-_Sigmoid
Colon_Transverse,Colon_-_Transverse
Esophagus_Gastroesophageal_Junction,Esophagus_-_Gastroesophageal_Junction
Esophagus_Mucosa,Esophagus_-_Mucosa
Esophagus_Muscularis,Esophagus_-_Muscularis
Heart_Atrial_Appendage,Heart_-_Atrial_Appendage
Heart_Left_Ventricle,Heart_-_Left_Ventricle
Kidney_Cortex,Kidney_-_Cortex
Liver,Liver
Lung,Lung
Minor_Salivary_Gland,Minor_Salivary_Gland
Muscle_Skeletal,Muscle_-_Skeletal
Nerve_Tibial,Nerve_-_Tibial
Ovary,Ovary
Pancreas,Pancreas
Pituitary,Pituitary
Prostate,Prostate
Skin_Not_Sun_Exposed_Suprapubic,Skin_-_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg,Skin_-_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ileum,Small_Intestine_-_Terminal_Ileum
Spleen,Spleen
Stomach,Stomach
Testis,Testis
Thyroid,Thyroid
Uterus,Uterus
Vagina,Vagina
Whole_Blood,Whole_Blood
